ticker,name,market,market_cap
088910,동우팜투테이블,KOSDAQ,65612680560
263690,디알젬,KOSDAQ,65235513600
005670,푸드웰,KOSDAQ,65200000000
104200,NHN벅스,KOSDAQ,65167082250
097800,윈팩,KOSDAQ,65086759233
082210,옵트론텍,KOSDAQ,65031793800
004770,써니전자,KOSPI,64907596664
37550K,DL이앤씨우,KOSPI,64896269500
053270,구영테크,KOSDAQ,64688555800
444530,심플랫폼,KOSDAQ,64611952300
004780,대륙제관,KOSDAQ,64566987940
096630,에스코넥,KOSDAQ,64537253808
303360,프로티아,KOSDAQ,64527372150
050960,수산아이앤티,KOSDAQ,64404540000
008370,원풍,KOSDAQ,64320000000
215790,이노인스트루먼트,KOSDAQ,64291905804
007815,코리아써우,KOSPI,64037304000
067170,오텍,KOSDAQ,63986896530
002630,오리엔트바이오,KOSPI,63679073685
054300,팬스타엔터프라이즈,KOSDAQ,63600168555
004920,씨아이테크,KOSPI,63502904224
173940,에프엔씨엔터,KOSDAQ,63264440880
452300,캡스톤파트너스,KOSDAQ,63125144775
133820,화인베스틸,KOSPI,63094653400
365590,하이딥,KOSDAQ,62996725770
196450,코아시아씨엠,KOSDAQ,62948899398
261200,덴티스,KOSDAQ,62764509000
153460,네이블,KOSDAQ,62753434540
089790,제이티,KOSDAQ,62718319040
413640,비아이매트릭스,KOSDAQ,62700378000
014190,원익큐브,KOSDAQ,62622433714
001840,이화공영,KOSDAQ,62588831935
004450,삼화왕관,KOSPI,62584709950
004410,서울식품,KOSPI,62338921488
004910,조광페인트,KOSPI,62336000000
0010V0,제이피아이헬스케어,KOSDAQ,62285880000
053620,태양,KOSDAQ,62264000000
005305,롯데칠성우,KOSPI,62257393000
053980,오상자이엘,KOSDAQ,62168614325
100030,인지소프트,KOSDAQ,62127868880
189330,씨이랩,KOSDAQ,62110720080
238120,얼라인드,KOSDAQ,62044936240
294090,이오플로우,KOSDAQ,61997566450
048770,TPC로보틱스,KOSDAQ,61928574495
185490,아이진,KOSDAQ,61905050688
052790,액토즈소프트,KOSDAQ,61832936020
006370,대구백화점,KOSPI,61683182700
297570,알로이스,KOSDAQ,61660389258
045340,토탈소프트,KOSDAQ,61617888000
440290,HB인베스트먼트,KOSDAQ,61614403200
127710,아시아경제,KOSDAQ,61580795580
239890,피엔에이치테크,KOSDAQ,61502323450
038010,제일테크노스,KOSDAQ,61470000000
070300,엑스큐어,KOSDAQ,61181079750
066360,체리부로,KOSDAQ,61090867110
452160,제이엔비,KOSDAQ,60878945910
017180,명문제약,KOSPI,60708775752
090410,덕신이피씨,KOSDAQ,60508416735
010770,평화홀딩스,KOSPI,60476301910
094970,제이엠티,KOSDAQ,60461146400
364950,에이아이코리아,KOSDAQ,60398119600
143540,영우디에스피,KOSDAQ,60209858250
237820,플레이디,KOSDAQ,60159286600
041650,상신브레이크,KOSPI,60120060000
053950,경남제약,KOSDAQ,60095318302
432430,와이랩,KOSDAQ,60090284800
419080,엔젯,KOSDAQ,60050469940
033830,티비씨,KOSDAQ,59900000000
037950,엘컴텍,KOSDAQ,59873290971
