date,ticker,nav,open,high,low,close,volume,trading_value,base_index
2026-01-30,0100K0,14108.46,15175,15180,13515,14005,1984872,28130576775,12523.31
2026-01-30,0098F0,14639.81,15240,15290,14655,14660,2378919,35574043248,5683.53
2026-01-30,0115D0,10206.51,10435,10490,10195,10235,1064729,10948231847,6445.62
2026-01-30,266360,14322.43,14620,14645,14265,14265,181763,2636460686,2220.56
2026-01-30,291890,11343.03,11380,11470,11240,11270,15170,171466830,1547.37
2026-01-30,289040,22960.53,22645,23360,22645,23125,13979,322509890,3207.7
2026-01-30,156080,36256.9,35980,37000,35980,36370,36515,1335885480,1766.08
2026-01-30,278540,26842.82,26680,27395,26665,26915,59747,1614245480,3399.29
2026-01-30,251350,37332.54,37055,37300,37045,37045,129505,4811537923,4527.59
2026-01-30,269420,22681.13,22450,22530,22450,22455,4957,111514005,3718.15
2026-01-30,433970,13646.68,13610,13640,13600,13605,81448,1108941580,1847.24
2026-01-30,433980,15295.07,15210,15275,15210,15225,129562,1975297444,2151.75
2026-01-30,434060,16469.9,16370,16445,16370,16370,395761,6495918945,2494.5
2026-01-30,0082V0,11051.5,10960,11095,10960,10995,287392,3161955438,2581.16
2026-01-30,329650,14340.59,14270,14315,14250,14255,97541,1392757216,1849.22
2026-01-30,329660,17720.57,17605,17625,17565,17580,106342,1870808815,2293.19
2026-01-30,329670,21580.02,21400,21475,21360,21380,85717,1835228253,2813.0
2026-01-30,395170,14011.98,14195,14265,14000,14045,52147,737912417,2208.0
2026-01-30,315930,56126.48,55695,57455,55520,56245,112771,6389748059,5738.13
2026-01-30,261220,15232.62,15285,15285,14805,14965,555850,8371176774,146.1
2026-01-30,271050,3772.09,3775,3870,3762,3845,811389,3091834348,146.1
2026-01-30,468370,11391.92,11330,11380,11315,11360,34040,386336025,127.96
2026-01-30,468630,11743.71,11570,11725,11570,11705,69054,806948723,344.23
2026-01-30,468380,11625.19,11535,11635,11535,11625,192287,2228031768,620.26
2026-01-30,275290,22777.99,22370,23090,22370,22830,11054,252632910,13285.96
2026-01-30,117700,5199.35,5290,5320,5155,5200,474387,2478264130,1041.87
2026-01-30,300950,6916.46,7030,7115,6885,6885,412957,2900969827,851.25
2026-01-30,266390,10861.05,10690,10975,10690,10810,17028,184577177,1232.95
2026-01-30,279530,15846.43,15650,15995,15625,15840,590224,9355834100,24602.8
2026-01-30,132030,30629.07,31290,31355,29430,29680,1707381,51534819921,2315.37
2026-01-30,280940,2856.9,2765,2975,2765,2945,195661,563964667,285.94
2026-01-30,138910,9819.34,10080,10740,9355,9550,3126557,30492373357,835.49
2026-01-30,471230,107052.92,107510,107585,107070,107070,14728,1579479274,112.05
2026-01-30,439870,103975.71,104765,104940,104125,104125,29094,3039958537,92.89
2026-01-30,114260,61618.1,61685,61690,61600,61600,23375,1440498931,203.7
2026-01-30,152380,66734.67,67020,67030,66730,66735,3590,239988932,1174.14
2026-01-30,176950,57511.4,57280,57510,57280,57510,251,14421130,1174.14
2026-01-30,292770,56662.56,56575,56575,56575,56575,4,226300,1216.18
2026-01-30,276990,24414.16,24415,24415,24190,24195,27231,660285200,1194.6
2026-01-30,476070,11774.2,11640,11750,11640,11690,132248,1544453642,3214.94
2026-01-30,0064K0,16296.24,16400,16685,15470,15610,3078540,49007120306,4128.56
2026-01-30,0089D0,11768.73,11795,11995,11765,11770,498674,5914858927,2426.53
2026-01-30,498410,12321.35,12420,12500,12290,12345,1790187,22191622285,1112.15
2026-01-30,102960,16243.02,16635,16670,16190,16290,29232,479053048,1763.19
2026-01-30,404260,20140.31,20270,20440,20000,20195,1970,39931870,3860.34
2026-01-30,273140,114743.49,114745,114745,114735,114745,4863,558002170,146.24
2026-01-30,153130,113407.09,113410,113415,113395,113415,21171,2401026398,172.74
2026-01-30,214980,114825.36,114825,114840,114820,114825,46908,5386355989,167.55
2026-01-30,487950,10586.3,10605,10765,10435,10765,19495,206157767,2935.16
2026-01-30,122630,76896.85,74935,79365,74900,76385,23787448,1837872276506,768.41
2026-01-30,445290,36196.98,36935,37260,36300,36300,5309921,195679330154,4110.06
